	chao1	observed_otus	shannon	simpson
CS.020	108.909090909	98.0	5.19890230466	0.950576043414
CS.021	149.0	122.0	5.49203334475	0.958837866245
CS.022	141.2	106.0	4.98227658694	0.949008687957
CS.023	226.833333333	148.0	5.3923561886	0.942422659457
CS.024	252.789473684	183.0	6.09961603045	0.968658770081
CS.025	160.352941176	133.0	5.34176465914	0.941024712523
CS.026	180.045454545	153.0	5.92364713606	0.968176238865
CS.027	129.1	106.0	5.01290600104	0.932249438154
CS.028	159.545454545	137.0	5.69633235976	0.96793453776
CS.029	198.5	149.0	5.69738940306	0.964164436012
CS.030	173.714285714	147.0	5.53861088522	0.9522596767
CS.031	167.333333333	105.0	4.89344733827	0.942596422954
CS.032	97.1538461538	84.0	3.9822354246	0.85085669977
CS.033	162.555555556	135.0	5.42130192772	0.955369128759
CS.035	162.1875	135.0	5.100763804	0.920771030881
CS.036	151.3125	131.0	5.75144055836	0.968431440393
CS.037	109.714285714	100.0	5.13091093289	0.95164257676
CS.038	122.4	104.0	4.6599828995	0.888260707958
CS.039	165.153846154	127.0	5.40280747306	0.953846194046
CS.040	140.368421053	119.0	4.90836918795	0.921044523303
CS.041	138.588235294	113.0	4.80385530079	0.914428880974
CS.042	127.666666667	97.0	4.99243654955	0.940261720925
CS.043	170.545454545	131.0	5.80996337994	0.969826774342
CS.044	140.0	111.0	4.97452332052	0.931389766114
CS.045	165.526315789	136.0	5.66840311721	0.965077674243
CS.046	188.153846154	145.0	5.52763884846	0.952774870227
CS.047	132.0	105.0	5.0193757763	0.944603195376
CS.049	122.666666667	92.0	4.78934576783	0.929587242014
CS.050	129.5	110.0	5.17843760343	0.941238106291
CS.051	138.666666667	117.0	5.54730282333	0.964671355087
CS.052	160.555555556	138.0	5.56694058622	0.958865738084
CS.053	193.0	148.0	5.7597732111	0.965224436896
CS.055	136.230769231	115.0	5.3188133797	0.950506799313
CS.056	166.875	123.0	5.65548756819	0.963937541821
CS.057	138.647058824	121.0	5.45665261557	0.958691539089
CS.058	178.652173913	143.0	5.65704164436	0.965999186926
CS.059	141.4375	127.0	5.78383824448	0.970318451005
CS.060	152.75	123.0	5.38719291623	0.964181420414
CS.061	98.375	77.0	4.47237708463	0.924940048327
CS.062	172.75	124.0	4.96726313201	0.917905892912
CS.063	132.833333333	120.0	5.32483298699	0.948441234731
CS.064	169.75	131.0	5.67709809384	0.969073799186
CS.065	138.5	106.0	5.25466045898	0.953958987895
CS.066	112.1	95.0	4.73712703627	0.912822766241
CS.067	123.769230769	88.0	4.64421476533	0.935678545369
CS.068	132.0	93.0	4.6617949656	0.92905593508
CS.070	176.142857143	96.0	4.61737667727	0.931125854637
CS.071	154.833333333	121.0	5.43681773497	0.958304381823
CS.072	208.5	159.0	5.81725379351	0.963650984475
CS.073	163.214285714	130.0	5.56149336317	0.964946154002
CS.074	223.2	111.0	4.74181769674	0.894492677001
CS.075	135.272727273	118.0	5.34074782718	0.945389703838
CS.076	137.545454545	115.0	5.05262031861	0.948199533626
CS.077	135.5	121.0	4.96324250224	0.930632871481
CS.078	129.214285714	106.0	5.12619651682	0.950176692218
CS.079	141.1875	114.0	5.19239006873	0.949982895836
CS.080	158.5	116.0	5.04035719479	0.94265608611
CS.082	233.434782609	178.0	6.03050264512	0.967880100574
CS.083	234.066666667	162.0	5.95579867585	0.972955388291
CS.084	218.555555556	166.0	6.07693023474	0.973747993718
CS.085	195.75	168.0	6.11314564867	0.974698684732
CS.086	162.526315789	133.0	5.32974561878	0.940343594453
CS.087	149.333333333	101.0	4.71728548328	0.91482997416
CS.088	107.111111111	86.0	4.73570434675	0.924903902036
CS.089	174.142857143	152.0	5.51174347496	0.943568017848
CS.090	156.0	121.0	5.15681120092	0.94299054818
CS.091	162.0	118.0	5.3536431433	0.959907448074
CS.092	200.0	157.0	5.89821941081	0.972324352432
CS.093	155.0	125.0	5.51769610486	0.954523828136
CS.094	112.1	95.0	4.5078249159	0.90481222546
CS.095	156.954545455	141.0	5.78262884301	0.964094756414
CS.096	173.25	126.0	5.72030165431	0.967563493901
CS.097	134.071428571	109.0	5.09521113628	0.942778460904
CS.098	136.571428571	123.0	5.6989264377	0.966662014102
CS.099	188.75	137.0	4.86672767712	0.9044586015
CS.101	137.083333333	116.0	5.42351277986	0.944759974471
CS.102	131.333333333	108.0	4.82353202748	0.916248824973
CS.103	181.058823529	144.0	5.76009117077	0.965963040635
CS.104	162.5	119.0	5.19647960396	0.946174905807
CS.105	170.75	132.0	5.19126072042	0.929187890818
CS.106	205.647058824	155.0	5.5539890836	0.955651766628
CS.108	155.6	106.0	4.69369523503	0.911265862724
CS.109	189.875	154.0	5.52391407634	0.950448007153
CS.110	138.2	113.0	5.02647308161	0.938320708624
CS.111	186.05	143.0	5.48013361302	0.958999435813
CS.112	129.0	108.0	5.16502340615	0.943875914572
CS.113	126.5	98.0	4.67117819972	0.906152251228
CS.114	160.0	129.0	5.83349438337	0.973021583909
CS.115	161.272727273	104.0	5.06756496988	0.953323597061
CS.117	134.043478261	121.0	5.03799894085	0.932490703762
CS.118	143.461538462	110.0	4.68241247965	0.908071053157
CS.119	133.071428571	115.0	5.52542495016	0.962422446063
CS.120	165.8	141.0	5.52494297152	0.953024845785
CS.122	150.352941176	123.0	5.11074076342	0.93151170541
CS.123	132.0	105.0	4.52972262541	0.905031280696
CS.124	104.3	89.0	5.05437995991	0.947020641928
CS.130	182.588235294	139.0	5.5763581189	0.957798769241
CS.131	196.15	161.0	6.0433088908	0.971978567427
CS.132	171.8	134.0	5.81665553875	0.969311145317
CS.133	130.789473684	115.0	5.29741630209	0.955373048236
CS.135	152.555555556	130.0	5.68208056977	0.966455152795
CS.136	197.526315789	150.0	5.79365508642	0.968582993518
CS.143	152.3	127.0	5.72266146797	0.965828036414
CS.153	169.142857143	147.0	5.77773717592	0.965315891369
CS.154	85.6666666667	63.0	4.37712834619	0.927847429552
CS.156	87.75	75.0	4.51203336955	0.926739959442
CS.157	99.8333333333	84.0	4.2946670636	0.893668715755
CS.158	145.352941176	118.0	5.51372404673	0.964954863952
CS.160	173.153846154	130.0	5.06304847741	0.928285104527
CS.161	142.166666667	118.0	5.07580046716	0.948017060179
CS.163	167.8125	114.0	4.81391014841	0.940070537528
CS.164	105.363636364	71.0	3.9682951447	0.902350793662
CS.165	133.5	102.0	5.1252051731	0.95121274074
CS.167	125.4	102.0	4.57438077066	0.910940110603
CS.168	186.333333333	163.0	5.88007636209	0.967135835368
CS.169	163.625	140.0	5.40780702745	0.930838861792
CS.170	119.157894737	112.0	5.21397437699	0.940842239075
CS.171	175.4	131.0	5.00779039564	0.905482020595
CS.172	139.368421053	118.0	5.07510666686	0.934929925188
CS.173	149.0	118.0	4.91515301177	0.914644887728
CS.175	124.0	82.0	4.27105757595	0.912626792372
CS.176	163.0	132.0	5.4659051192	0.955013762809
CS.199	127.789473684	112.0	5.22881306077	0.952919019895
CS.200	202.333333333	179.0	6.42029756362	0.981837359544
CS.217	160.25	131.0	5.52200950008	0.95311063879
CS.218	194.352941176	153.0	5.81761744904	0.965916006906
CS.219	163.352941176	136.0	5.4154922205	0.954820837422
CS.220	127.153846154	111.0	5.07131975783	0.930204341953
CS.227	135.111111111	90.0	4.77481997064	0.941834302352
CS.228	178.555555556	126.0	5.11137231189	0.939635475538
CS.229	175.0	117.0	5.39576629037	0.957509598909
CS.231	181.666666667	142.0	6.01946450897	0.976292170038
CS.232	211.652173913	176.0	6.14038891073	0.97315310415
CS.233	173.384615385	137.0	5.04867715255	0.93856240973
CS.235	155.647058824	135.0	5.73495766406	0.965255357218
CS.236	149.0	105.0	4.82398418292	0.9361410437
CS.237	181.833333333	134.0	5.12629925815	0.939593667779
CS.238	166.0	135.0	5.70144815761	0.967716789016
CS.239	158.055555556	144.0	5.87293838823	0.969571137317
CS.240	136.25	113.0	5.03128510473	0.940907563699
CS.241	128.714285714	109.0	5.30492223959	0.954342661181
CS.247	156.181818182	139.0	5.81963093872	0.968789854825
CS.248	181.071428571	141.0	5.98271680745	0.975088890481
CS.249	144.588235294	119.0	5.38456224445	0.960324219169
CS.251	150.916666667	134.0	4.93243861276	0.912362009899
CS.284	174.166666667	124.0	5.34079754116	0.958563502828
CS.285	105.5	89.0	4.99717917373	0.953189899333
CS.286	145.857142857	103.0	5.31885797279	0.957901546648
CS.292	161.058823529	124.0	5.43947829488	0.959039937079
CS.298	162.84	143.0	5.57512965583	0.956984388939
CS.308.0	148.0	97.0	4.45968428354	0.913110194582
CS.311	141.25	112.0	4.93064566261	0.924449242659
CS.312	161.058823529	130.0	5.66464622292	0.96542476574
CS.345.0	145.142857143	83.0	4.40327990488	0.914832587145
CS.346	132.153846154	94.0	4.62709289195	0.928172746175
CS.347.0	133.0625	104.0	5.16834877481	0.951537621866
L.011.M1	143.166666667	119.0	5.19735234161	0.946903493104
CS.138	134.55	123.0	5.27367839794	0.944696391838
CS.139	118.111111111	90.0	4.80760965673	0.932689726113
CS.140	152.428571429	131.0	5.75390548876	0.967197240514
CS.141	164.375	141.0	5.56287547049	0.958146731733
CS.142	117.25	103.0	5.46871607022	0.965862440715
CS.151	151.894736842	129.0	5.55879635447	0.962530013942
CS.155	147.0	122.0	5.78074289402	0.970358081276
CS.159	146.3	126.0	5.34306870635	0.950494169886
CS.174	172.0	130.0	5.51741052957	0.956652104357
CS.188	121.352941176	109.0	5.14717373956	0.947002786531
CS.190	168.153846154	130.0	5.61619411413	0.959988886104
CS.191	158.6	118.0	5.08953075447	0.919829920811
CS.193	158.176470588	129.0	5.65395461166	0.968229805056
CS.194	107.076923077	84.0	4.59709918651	0.933444007761
CS.196	122.5	110.0	4.82427091367	0.935256983801
CS.198	157.038461538	130.0	5.25543164055	0.946057756983
CS.203	140.0	109.0	4.81002012094	0.916801035787
CS.205	118.071428571	100.0	4.96660003744	0.942261089889
CS.213	111.3	96.0	5.13052233723	0.951227547655
CS.222	130.909090909	99.0	5.08744329721	0.95431522484
CS.224	92.1111111111	71.0	4.29708078891	0.898086837763
CS.230	113.111111111	92.0	4.97798687403	0.936508168082
CS.259	128.647058824	111.0	5.13948424445	0.948692952279
CS.260	137.636363636	124.0	5.27897946382	0.947879007475
CS.269	84.0909090909	77.0	4.63892355391	0.93496607148
CS.274	156.125	98.0	5.11821336557	0.949867053505
CS.275	139.4	121.0	5.69169903402	0.969522797096
CS.282	130.083333333	103.0	5.10809584447	0.950964071675
CS.283	108.545454545	99.0	5.2895872053	0.956213993884
CS.290	107.875	96.0	5.01399528078	0.935087575278
CS.293	125.071428571	107.0	5.1908184445	0.948824908017
CS.294	54.0	43.0	3.28706358365	0.826866885185
CS.295	144.375	119.0	4.99113166314	0.922620153212
CS.296	144.473684211	126.0	5.42497877946	0.95060609274
CS.297	125.55	114.0	4.96472913158	0.921638977374
CS.300	137.55	126.0	5.55952947549	0.963799924615
CS.301	160.894736842	138.0	5.68794127611	0.965977847549
CS.302	120.857142857	78.0	4.79592945807	0.943590663718
CS.305	152.0	123.0	5.27882221726	0.943875479074
CS.318	132.230769231	111.0	5.47937658189	0.959336510868
CS.319	118.157894737	111.0	5.24266275957	0.945453286471
CS.321	130.375	105.0	4.71821893887	0.921510505615
CS.322	130.3	105.0	5.24453571094	0.953873630388
CS.325	67.1666666667	58.0	4.38655333704	0.926844914337
CS.328	63.0	54.0	4.16635445457	0.912303653236
CS.332	129.0	109.0	5.14419822121	0.950100480158
CS.333	144.083333333	117.0	5.55211643121	0.965392103429
CS.334	133.0	103.0	5.41687356488	0.962526529963
CS.335	77.75	68.0	4.50686655223	0.932234195742
CS.339	142.666666667	91.0	4.55761998501	0.918290872691
CS.341	117.866666667	101.0	4.90702775587	0.934798840444
CS.343	125.083333333	104.0	5.14615065649	0.949768195575
CS.350	158.142857143	133.0	5.39036826861	0.952470457484
CS.351	147.0	122.0	5.48291865003	0.957435128839
CS.356	91.0	74.0	4.50852038893	0.907157814926
CS.357	153.055555556	120.0	4.84594355148	0.919430569615
CS.358	82.3333333333	69.0	4.35169849439	0.909697200775
CS.360	152.2	127.0	5.82773668396	0.972161911869
CS.362	125.272727273	98.0	4.9933123431	0.939556214996
CS.365	145.894736842	123.0	5.07050768415	0.925875932427
CS.366	107.0	88.0	4.78622837213	0.93374406553
CS.379	128.625	88.0	4.70631754252	0.93571991763
CS.380	138.428571429	117.0	5.45889805235	0.962472963772
CS.382	143.789473684	128.0	5.69202292223	0.96587027967
CS.388	112.230769231	91.0	4.86782098418	0.947135613264
IMP000.L.T02	174.565217391	144.0	5.79669590607	0.968512442925
IMP000.L.T03	152.176470588	123.0	5.49892811429	0.9615841134
IMP000.L.T04	129.153846154	113.0	5.55629392418	0.96577664771
IMP000.L.T05	213.272727273	135.0	5.58502308975	0.961497013903
IMP000.L.T06	192.583333333	134.0	5.77107698304	0.968799435769
