	PD_whole_tree	chao1	observed_otus	shannon	simpson
TFS.020	74.43619	920.0	430.0	7.13757444011	0.984555299362
TFS.021	74.06193	1249.06521739	589.0	7.7528956303	0.9875297472
TFS.022	85.35109	923.585365854	484.0	7.53049887882	0.988977776345
TFS.023	59.44978	914.118644068	395.0	6.78833076827	0.980861409675
TFS.024	57.08813	893.622222222	368.0	6.64555195495	0.97649990234
TFS.025	55.15351	777.637931034	381.0	6.71581603945	0.976676278822
TFS.026	57.61131	984.021276596	389.0	6.6751112233	0.973070359627
TFS.027	63.11404	821.0625	432.0	6.63983654244	0.971030053899
TFS.028	79.32503	1250.6	483.0	7.12510423261	0.980399782338
TFS.029	49.99016	626.365384615	320.0	6.22126880141	0.969302870865
L.004.M1	81.8203	1116.825	522.0	7.54829133652	0.987306336989
L.005.M1	70.963	1024.421875	457.0	7.01391595691	0.975874963445
L.006.M1	65.54753	661.270833333	362.0	7.24298862949	0.987928227401
L.007.M1	69.41397	1120.59677419	477.0	7.16661419094	0.981992396649
L.008.M1	48.26063	775.4	342.0	6.22021006954	0.960181811491
L.012.M1	65.23339	965.32	406.0	7.06225621307	0.984788726015
L.025.M1	53.42792	817.042553191	359.0	6.66584254524	0.979004012892
CS.137	62.84043	551.246153846	338.0	6.61935329435	0.9750335823
IMP000.L.T26	65.60359	720.2	408.0	6.85019192831	0.979175598902
T.CS.145	60.34994	728.25	321.0	6.33968648311	0.971372790422
L.001.M1	76.14962	674.833333333	354.0	6.61833056202	0.968494152031
L.002.M1	46.70484	668.773584906	330.0	6.04703378152	0.96279566741
L.003.M1	52.50283	944.278688525	405.0	6.66520440733	0.977459738802
L.022.M1	93.75942	990.0	476.0	7.53865164893	0.988110700848
L.024.M1	56.79889	802.368421053	372.0	6.56552259482	0.975507403566
CS.001	87.25172	715.595744681	369.0	7.09209359199	0.985096187241
CS.002	67.60068	474.0	288.0	6.56685328249	0.977021192832
CS.003	73.62033	813.384615385	353.0	6.6694939346	0.975165538039
CS.004	54.65801	557.875	271.0	6.38318913757	0.973725783346
CS.005	87.21391	928.195652174	414.0	7.15163235249	0.982798937996
CS.006	60.00565	727.487179487	319.0	6.23407554922	0.959827752034
CS.007	65.82883	842.01754386	380.0	6.40182612807	0.962483415711
CS.008	65.36989	594.078431373	332.0	6.65036744524	0.97495911223
CS.009	41.96573	407.117647059	221.0	5.88402514309	0.968875212332
CS.010	62.52256	351.076923077	250.0	6.28075531098	0.944857961406
CS.011	89.33032	631.105263158	364.0	6.85376449652	0.976287379566
CS.012	81.38661	736.5	369.0	6.87858000715	0.980014367062
CS.013	84.18991	627.193548387	390.0	7.1339627346	0.980551335464
CS.014	85.07295	675.047619048	384.0	6.80424991236	0.975417691084
CS.015	55.59772	709.317073171	312.0	5.93450621484	0.95455779694
CS.016	51.76786	496.214285714	258.0	6.21159425564	0.964744954163
CS.017	60.60506	613.25	302.0	5.71078691957	0.929080322939
CS.018	42.66379	663.5	219.0	5.31950064679	0.925219202217
CS.019	60.53423	750.527777778	308.0	6.20863252641	0.963951477741
CS.020	50.62927	607.777777778	289.0	6.24685756114	0.970029716171
CS.021	55.93926	1502.25	291.0	6.45316861598	0.975866253496
CS.022	45.82996	489.444444444	225.0	5.91088745483	0.967185482082
CS.023	70.54365	848.382978723	377.0	6.78895901563	0.975853188571
CS.024	94.41723	921.172413793	439.0	7.31129116078	0.985428907322
CS.025	58.02572	534.37037037	261.0	6.01732015933	0.95275353085
CS.026	76.17032	604.175438596	361.0	6.9794661013	0.98266306278
CS.027	65.90365	572.875	286.0	6.05958756641	0.953850113523
CS.028	77.99057	596.826086957	334.0	6.79842140871	0.980433315645
CS.029	66.02713	534.243243243	297.0	6.61722457146	0.978385170962
CS.030	79.46276	813.608695652	381.0	6.85028780709	0.97838038049
CS.031	52.13358	712.25	259.0	5.96166534027	0.96485295754
CS.032	40.14563	329.454545455	171.0	4.93355479424	0.913423317276
CS.033	68.77853	665.234042553	345.0	6.74702743163	0.978991818962
CS.035	65.71162	685.135135135	315.0	6.36193399321	0.965595480755
CS.036	63.08862	541.03125	279.0	6.55065721303	0.978710923083
CS.037	47.27508	483.0	241.0	5.91222752467	0.964095191912
CS.038	51.52944	592.8	282.0	6.07038893117	0.957079327392
CS.039	63.3587	645.636363636	323.0	6.48697468786	0.972185428733
CS.040	61.12304	719.0	304.0	6.11328587049	0.962114984837
CS.041	50.89165	534.833333333	251.0	5.60514453667	0.932337408646
CS.042	50.70491	1049.64705882	273.0	6.18995964707	0.973014615949
CS.043	64.34857	730.0	315.0	6.74331503581	0.979833635605
CS.044	53.45441	782.576923077	281.0	6.27449230745	0.972251624351
CS.045	64.09427	887.46875	344.0	6.80828817173	0.981788148328
CS.046	82.02445	835.591836735	392.0	6.85127994479	0.975366737878
CS.047	45.36302	568.391304348	226.0	5.70889015304	0.957340190386
CS.049	50.31924	705.045454545	250.0	5.68579613043	0.943095503075
CS.050	42.19777	394.058823529	189.0	5.91222707649	0.968157076976
CS.051	51.9763	424.162162162	247.0	6.21684190493	0.972636168632
CS.052	72.94397	651.489795918	330.0	6.38104668933	0.969699173578
CS.053	70.82423	626.857142857	324.0	6.5815536397	0.971091894543
CS.055	53.23994	642.0	285.0	6.33340190138	0.972295609597
CS.056	56.12641	668.625	269.0	6.37092230781	0.974595907325
